"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Abrade","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","122","False","False",""
"1","1","Abstruse Archaic","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","712","False","False",""
"1","1","Abzan Falconer","2x2","Near Mint","English","foil","","2024-01-11 07:11:02.317000","4","False","False",""
"2","2","Adaptive Sporesinger","one","Near Mint","English","","","2024-01-11 07:17:09.807000","157","False","False",""
"1","1","Aeromoeba","mh2","Near Mint","English","","","2024-01-11 08:24:02.890000","37","False","False",""
"3","3","Against All Odds","one","Near Mint","English","","","2024-01-11 07:43:05.357000","1","False","False",""
"3","3","Ainok Bond-Kin","2x2","Near Mint","English","","","2024-01-11 08:53:33.000000","5","False","False",""
"1","1","Ainok Bond-Kin","2x2","Near Mint","English","foil","","2024-01-11 07:12:14.403000","5","False","False",""
"1","1","Aisha of Sparks and Smoke","slx","Near Mint","English","","","2023-12-27 06:55:37.280000","12","False","False",""
"1","1","Akoum Refuge","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","289","False","False",""
"1","1","All Is Dust","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","800","False","False",""
"1","1","Alloy Animist","bro","Near Mint","English","foil","","2024-01-11 09:08:56.750000","166","False","False",""
"1","1","Ambition's Cost","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","66","False","False",""
"2","2","Ambulatory Edifice","one","Near Mint","English","","","2024-01-11 08:12:12.380000","79","False","False",""
"1","1","Ambush Viper","cmr","Near Mint","English","","","2024-01-11 07:16:22.173000","213","False","False",""
"1","1","Ancestral Blade","cmr","Near Mint","English","","","2024-01-11 07:43:47.210000","5","False","False",""
"2","2","Ancient Animus","cmr","Near Mint","English","","","2024-01-11 09:13:14.607000","215","False","False",""
"1","1","Ancient Stone Idol","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","940","False","False",""
"2","2","Angelic Curator","mh2","Near Mint","English","","","2024-01-11 07:35:00.810000","262","False","False",""
"2","2","Annex Sentry","one","Near Mint","English","","","2023-12-27 06:25:57.020000","2","False","False",""
"2","2","Annihilating Glare","one","Near Mint","English","","","2024-01-11 08:43:06.747000","80","False","False",""
"1","1","Annihilating Glare","one","Near Mint","English","foil","","2024-01-11 08:44:26.800000","80","False","False",""
"1","1","Annoyed Altisaur","cmr","Near Mint","English","","","2024-01-11 07:14:08.423000","216","False","False",""
"2","2","Anoint with Affliction","one","Near Mint","English","","","2023-12-27 06:29:45.160000","81","False","False",""
"1","1","Anointer of Valor","2x2","Near Mint","English","","","2024-01-11 08:53:25.130000","6","False","False",""
"1","1","Anointer of Valor","cmr","Near Mint","English","","","2024-01-11 07:34:45.103000","8","False","False",""
"1","1","Antagonize","snc","Near Mint","English","","","2023-12-28 01:02:25.897000","100","False","False",""
"3","3","Apostle of Invasion","one","Near Mint","English","","","2024-01-11 07:34:51.483000","3","False","False",""
"2","2","Aqueous Form","cmr","Near Mint","English","","","2024-01-11 08:31:17.560000","56","False","False",""
"1","1","Arcane Lighthouse","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","985","False","False",""
"1","1","Arcane Signet","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","257","False","False",""
"2","2","Arcbound Mouser","mh2","Near Mint","English","","","2024-01-11 07:11:51.713000","3","False","False",""
"1","1","Arcbound Prototype","mh2","Near Mint","English","","","2024-01-11 07:11:18.800000","4","False","False",""
"1","1","Arcbound Tracker","mh2","Near Mint","English","","","2024-01-11 07:09:39.930000","112","False","False",""
"1","1","Arch of Orazca","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","986","False","False",""
"1","1","Archfiend of Depravity","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","67","False","False",""
"1","1","Archfiend of the Dross","one","Near Mint","English","","","2023-12-27 06:46:22.310000","82","False","False",""
"1","1","Archway Angel","rna","Near Mint","English","","","2024-01-11 07:11:36.337000","3","False","False",""
"1","1","Argentum Masticore","one","Near Mint","English","","","2023-12-27 05:58:51.350000","222","False","False",""
"1","1","Armix, Filigree Thrasher","cmr","Near Mint","English","","","2024-01-11 07:48:41.183000","108","False","False",""
"2","2","Armored Scrapgorger","one","Near Mint","English","","","2024-01-11 07:17:18.120000","158","False","False",""
"1","1","Armory of Iroas","cmr","Near Mint","English","","","2024-01-11 09:06:18.033000","299","False","False",""
"1","1","Artisan of Kozilek","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","801","False","False",""
"1","1","Arwen's Gift","ltr","Near Mint","English","","","2023-12-28 00:57:00.640000","39","False","False",""
"1","1","Ashnod's Intervention","bro","Near Mint","English","","","2024-01-11 08:42:56.177000","85","False","False",""
"3","3","Aspirant's Ascent","one","Near Mint","English","","","2024-01-11 08:27:29.333000","40","False","False",""
"2","2","Atmosphere Surgeon","one","Near Mint","English","","","2024-01-11 08:23:06.700000","41","False","False",""
"1","1","Atraxa's Skitterfang","one","Near Mint","English","","","2023-12-27 06:18:50.983000","223","False","False",""
"1","1","Atraxa's Skitterfang","one","Near Mint","English","foil","","2023-12-27 05:49:46.037000","223","False","False",""
"1","1","Aven Heartstabber","snc","Near Mint","English","","","2023-12-28 01:03:31.730000","166","False","False",""
"1","1","Aven Initiate","2x2","Near Mint","English","","","2024-01-11 08:18:20.640000","39","False","False",""
"1","1","Aven Initiate","2x2","Near Mint","English","foil","","2024-01-11 08:18:08.867000","39","False","False",""
"1","1","Awaken the Sleeper","one","Near Mint","English","","","2023-12-27 06:39:13.377000","119","False","False",""
"2","2","Axiom Engraver","one","Near Mint","English","","","2024-01-11 07:05:10.547000","120","False","False",""
"1","1","Axiom Engraver","one","Near Mint","English","foil","","2024-01-11 07:04:58.927000","120","False","False",""
"1","1","Baldin, Century Herdmaster","slx","Near Mint","English","","","2023-12-27 06:27:36.310000","10","False","False",""
"1","1","Balmor, Battlemage Captain","dmu","Near Mint","English","","","2023-12-28 01:07:08.760000","196","False","False",""
"1","1","Bamboo Grove Archer","neo","Near Mint","English","","","2024-01-11 09:10:21.827000","173","False","False",""
"1","1","Bane of Bala Ged","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","802","False","False",""
"2","2","Barbed Batterfist","one","Near Mint","English","","","2024-01-11 08:51:42.410000","121","False","False",""
"1","1","Barrage Tyrant","bfz","Near Mint","English","","","2024-01-14 06:14:13.497000","127","False","False",""
"3","3","Basilica Shepherd","one","Near Mint","English","","","2024-01-11 07:35:37.050000","4","False","False",""
"2","2","Basilica Skullbomb","one","Near Mint","English","","","2024-01-11 07:44:49.560000","224","False","False",""
"1","1","Befriending the Moths // Imperial Moth","neo","Near Mint","English","","","2024-01-11 07:46:27.180000","4","False","False",""
"1","1","Bestial Bloodline","woe","Near Mint","English","","","2023-12-28 01:09:59.680000","162","False","False",""
"3","3","Bilious Skulldweller","one","Near Mint","English","","","2024-01-11 08:13:00.480000","83","False","False",""
"1","1","Bill the Pony","ltr","Near Mint","English","foil","","2024-01-11 07:10:31.953000","3","False","False",""
"1","1","Birthday Escape","ltr","Near Mint","English","","","2023-12-28 00:56:52.613000","43","False","False",""
"2","2","Bitter Revelation","cmr","Near Mint","English","","","2024-01-11 08:44:00.763000","109","False","False",""
"1","1","Blackcleave Cliffs","one","Near Mint","English","","","2023-12-27 06:16:21.857000","248","False","False",""
"4","4","Bladed Ambassador","one","Near Mint","English","","","2024-01-11 07:35:13.153000","285","False","False",""
"3","3","Bladed Ambassador","one","Near Mint","English","","","2024-01-11 07:35:22.607000","5","False","False",""
"1","1","Bladed Ambassador","one","Near Mint","English","foil","","2023-12-27 06:47:18.647000","5","False","False",""
"3","3","Bladegraft Aspirant","one","Near Mint","English","","","2024-01-11 07:08:14.357000","122","False","False",""
"1","1","Bladegraft Aspirant","one","Near Mint","English","foil","","2023-12-27 06:13:56.190000","122","False","False",""
"1","1","Bladehold War-Whip","one","Near Mint","English","","","2023-12-27 06:35:58.883000","197","False","False",""
"1","1","Bladehold War-Whip","one","Near Mint","English","foil","","2023-12-27 07:00:47.680000","197","False","False",""
"1","1","Blasphemous Act","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","124","False","False",""
"1","1","Blast Zone","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","987","False","False",""
"4","4","Blazing Crescendo","one","Near Mint","English","","","2024-01-11 07:25:55.253000","123","False","False",""
"1","1","Blessed Respite","mh2","Near Mint","English","","","2024-01-11 07:12:43.517000","150","False","False",""
"2","2","Blightbelly Rat","one","Near Mint","English","","","2024-01-11 08:16:42.757000","85","False","False",""
"7","7","Blightbelly Rat","one","Near Mint","English","","","2024-01-11 08:16:58.880000","289","False","False",""
"1","1","Blighted Woodland","mic","Near Mint","English","","","2024-01-11 07:12:35.233000","166","False","False",""
"1","1","Bloated Contaminator","one","Near Mint","English","","","2024-01-11 07:13:41.370000","159","False","False",""
"1","1","Blood Petal Celebrant","vow","Near Mint","English","","","2023-12-28 00:54:28.503000","303","False","False",""
"1","1","Bloodfell Caves","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","290","False","False",""
"1","1","Bloodgift Demon","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","69","False","False",""
"1","1","Blossoming Calm","mh2","Near Mint","English","","","2024-01-11 08:53:15.940000","7","False","False",""
"1","1","Boarding Party","cmr","Near Mint","English","","","2024-01-11 07:10:07.393000","163","False","False",""
"1","1","Bonders' Enclave","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","988","False","False",""
"1","1","Bone Splinters","dmu","Near Mint","English","","","2023-12-28 01:07:36.790000","83","False","False",""
"4","4","Bonepicker Skirge","one","Near Mint","English","","","2024-01-11 08:11:05.433000","86","False","False",""
"6","6","Bonepicker Skirge","one","Near Mint","English","","","2024-01-11 08:17:09.993000","290","False","False",""
"2","2","Bonepicker Skirge","one","Near Mint","English","foil","","2024-01-11 08:16:20.847000","290","False","False",""
"1","1","Boulderbranch Golem","bro","Near Mint","English","","","2024-01-11 07:20:03.867000","197","False","False",""
"1","1","Boulderbranch Golem","bro","Near Mint","English","foil","","2024-01-11 07:20:16.377000","197","False","False",""
"1","1","Brainstone","mh2","Near Mint","English","","","2024-01-11 09:03:52.737000","426","False","False",""
"2","2","Branchblight Stalker","one","Near Mint","English","","","2024-01-11 09:11:46.853000","160","False","False",""
"1","1","Branchblight Stalker","one","Near Mint","English","foil","","2023-12-27 06:58:24.327000","160","False","False",""
"1","1","Brash Taunter","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","125","False","False",""
"1","1","Brazen Freebooter","cmr","Near Mint","English","","","2024-01-11 07:03:14.373000","164","False","False",""
"1","1","Brazen Upstart","snc","Near Mint","English","","","2023-12-28 01:03:19.817000","296","False","False",""
"1","1","Brazen Upstart","snc","Near Mint","English","","","2023-12-28 01:02:44.807000","169","False","False",""
"1","1","Breaker of Armies","mb1","Near Mint","English","","","2024-01-14 06:13:52.943000","3","False","False",""
"1","1","Breath of Malfegor","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","218","False","False",""
"2","2","Bring the Ending","one","Near Mint","English","","","2024-01-11 08:27:13.590000","44","False","False",""
"1","1","Brood Butcher","bfz","Near Mint","English","","","2024-01-14 06:13:43.537000","199","False","False",""
"1","1","Brood Butcher","bfz","Near Mint","English","foil","","2024-01-14 06:14:28.390000","199","False","False",""
"1","1","Bull's Strength","afr","Near Mint","English","","","2024-01-11 09:14:21.253000","174","False","False",""
"1","1","Burnished Hart","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","260","False","False",""
"1","1","Burnished Hart","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","373","False","False",""
"1","1","Burrowing Razormaw","bro","Near Mint","English","","","2024-01-11 09:09:19.697000","173","False","False",""
"1","1","Cabal Initiate","mh2","Near Mint","English","","","2024-01-11 08:14:32.207000","78","False","False",""
"2","2","Cacophony Scamp","one","Near Mint","English","","","2024-01-11 07:07:21.623000","124","False","False",""
"1","1","Cage of Hands","cmr","Near Mint","English","","","2024-01-11 07:45:14.530000","14","False","False",""
"1","1","Calamity of the Titans","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","713","False","False",""
"1","1","Candlegrove Witch","dbl","Near Mint","English","","","2024-01-11 07:33:28.527000","8","False","False",""
"3","3","Cankerbloom","one","Near Mint","English","","","2024-01-11 09:08:35.883000","294","False","False",""
"2","2","Cankerbloom","one","Near Mint","English","","","2024-01-11 07:16:30.260000","161","False","False",""
